date,open,close,high,low,volume,amount,amplitude,pct_chg,chg,turnover
2025-09-05,231.130,233.930,234.690,230.830,46588925,10903474176.000,1.67,1.17,2.700,0.80
2025-09-08,234.610,233.180,237.270,232.810,32474743,7639554816.000,1.91,-0.32,-0.750,0.56
2025-09-09,233.305,238.770,239.610,232.369,38060959,9047563776.000,3.11,2.40,5.590,0.65
2025-09-10,238.040,238.310,240.800,236.990,35141074,8426075136.000,1.60,-0.19,-0.460,0.60
2025-09-11,239.020,239.510,241.390,235.390,30599328,7334919936.000,2.52,0.50,1.200,0.53
2025-09-12,239.510,239.940,241.215,237.140,26771610,6435866112.000,1.70,0.18,0.430,0.46
2025-09-15,243.800,250.750,251.550,243.800,58383796,14578908928.000,3.23,4.51,10.810,1.00
2025-09-16,251.220,250.300,252.180,248.610,34109720,8574003968.000,1.42,-0.18,-0.450,0.59
2025-09-17,250.360,248.670,250.740,245.420,34107992,8499065600.000,2.13,-0.65,-1.630,0.59
2025-09-18,250.820,251.170,253.130,248.940,31239474,7862310400.000,1.68,1.01,2.500,0.54
2025-09-19,252.390,253.860,255.140,250.950,55571424,14131016192.000,1.67,1.07,2.690,0.96
2025-09-22,253.570,251.670,254.920,249.440,32290538,8156249344.000,2.16,-0.86,-2.190,0.56
2025-09-23,252.180,250.800,253.500,249.620,26628016,6711374080.000,1.54,-0.35,-0.870,0.46
2025-09-24,250.800,246.280,251.490,245.580,28201003,7002776064.000,2.36,-1.80,-4.520,0.48
2025-09-25,243.540,244.930,245.630,239.880,31020383,7588275456.000,2.33,-0.55,-1.350,0.53
2025-09-26,246.205,245.680,248.560,245.110,18503194,4569482752.000,1.41,0.31,0.750,0.32
2025-09-29,246.990,243.190,250.289,241.910,32505777,8001609984.000,3.41,-1.01,-2.490,0.56
2025-09-30,241.950,242.240,242.430,238.385,34724346,8394593536.000,1.66,-0.39,-0.950,0.60
2025-10-01,239.890,244.040,245.440,237.750,31658234,7693325312.000,3.17,0.74,1.800,0.54
2025-10-02,244.290,244.830,245.950,241.440,25483298,6236592384.000,1.85,0.32,0.790,0.44
2025-10-03,243.630,244.490,245.440,240.795,30249559,7389748992.000,1.90,-0.14,-0.340,0.52
2025-10-06,243.920,249.570,250.460,243.720,28894653,7175257600.000,2.76,2.08,5.080,0.50
2025-10-07,247.410,244.900,249.580,244.660,23181285,5726848512.000,1.97,-1.87,-4.670,0.40
2025-10-08,244.100,243.760,245.145,242.960,21307104,5215777024.000,0.89,-0.47,-1.140,0.37
2025-10-09,243.610,240.670,243.900,238.290,27892086,6731786496.000,2.30,-1.27,-3.090,0.48
2025-10-10,240.570,235.710,243.230,234.980,33180323,7922843648.000,3.43,-2.06,-4.960,0.57
2025-10-13,239.350,243.290,243.640,238.850,24995028,6061133824.000,2.03,3.22,7.580,0.43
2025-10-14,240.370,244.590,246.260,239.650,22111572,5411420160.000,2.72,0.53,1.300,0.38
2025-10-15,246.385,250.170,251.250,245.130,27007690,6747593984.000,2.50,2.28,5.580,0.46
2025-10-16,250.905,250.600,256.100,249.241,27997159,7086180352.000,2.74,0.17,0.430,0.48
2025-10-17,249.900,252.440,253.360,246.950,29671629,7474435328.000,2.56,0.73,1.840,0.51
2025-10-20,253.830,255.690,256.470,253.370,22350155,5719194368.000,1.23,1.29,3.250,0.38
2025-10-21,253.880,249.600,254.020,243.290,47312098,11816849920.000,4.20,-2.38,-6.090,0.81
2025-10-22,253.510,250.830,255.500,248.430,35029370,8852293632.000,2.83,0.49,1.230,0.60
2025-10-23,252.120,252.220,254.180,250.990,19901425,5044766208.000,1.27,0.55,1.390,0.34
2025-10-24,255.720,259.060,260.820,254.455,28655126,7445813504.000,2.52,2.71,6.840,0.49
2025-10-27,263.955,268.410,269.280,263.420,35235231,9420847872.000,2.26,3.61,9.350,0.61
2025-10-28,268.830,266.610,269.870,265.640,29738564,7964220160.000,1.58,-0.67,-1.800,0.51
2025-10-29,266.890,273.710,274.476,266.810,43580277,11962091776.000,2.88,2.66,7.100,0.75
2025-10-30,290.730,280.620,290.730,279.200,74875990,21409094656.000,4.21,2.52,6.910,1.29
2025-10-31,282.350,280.330,285.140,276.170,39267945,11022568704.000,3.20,-0.10,-0.290,0.67
2025-11-03,281.315,282.860,284.670,278.940,29785996,8425110528.000,2.04,0.90,2.530,0.51
2025-11-04,275.890,276.680,280.410,275.400,30078369,8363436288.000,1.77,-2.18,-6.180,0.52
2025-11-05,278.010,283.450,285.555,276.480,31010302,8783577600.000,3.28,2.45,6.770,0.53
2025-11-06,284.470,283.890,287.490,280.280,37173648,10595073024.000,2.54,0.16,0.440,0.64
2025-11-07,282.345,277.970,282.920,274.330,34479588,9595232768.000,3.03,-2.09,-5.920,0.59
2025-11-10,283.560,289.240,289.940,281.995,29557309,8521891584.000,2.86,4.05,11.270,0.51
2025-11-11,286.885,290.450,291.055,286.460,19842136,5754139392.000,1.59,0.42,1.210,0.34
2025-11-12,290.815,285.850,291.145,282.830,24829923,7117557248.000,2.86,-1.58,-4.600,0.43
2025-11-13,281.480,277.710,281.980,276.380,29494040,8243586560.000,1.96,-2.85,-8.140,0.51
2025-11-14,270.545,275.550,277.700,269.840,31647227,8752473088.000,2.83,-0.78,-2.160,0.54
2025-11-17,284.915,284.160,293.090,282.710,52670192,15162910208.000,3.77,3.12,8.610,0.91
2025-11-18,287.055,283.420,287.940,277.340,49158743,14000129792.000,3.73,-0.26,-0.740,0.84
2025-11-19,286.300,291.950,302.950,285.770,68198944,20178489088.000,6.06,3.01,8.530,1.17
2025-11-20,303.680,288.590,305.560,287.810,62025218,18405221376.000,6.08,-1.15,-3.360,1.07
2025-11-21,295.555,298.800,303.060,292.985,74137697,22155302912.000,3.49,3.54,10.210,1.27
2025-11-24,310.270,317.720,318.620,308.735,85165123,26964328704.000,3.31,6.33,18.920,1.46
2025-11-25,325.350,322.580,327.970,316.790,88632074,28663810816.000,3.52,1.53,4.860,1.52
2025-11-26,319.820,319.090,323.640,315.930,51373361,16437292032.000,2.39,-1.08,-3.490,0.88
2025-11-28,322.505,319.320,325.990,315.930,26018568,8334109696.000,3.15,0.07,0.230,0.45
2025-12-01,316.840,314.030,318.990,313.030,41182956,13021519872.000,1.87,-1.66,-5.290,0.71
2025-12-02,315.880,314.950,317.520,313.050,35854744,11328795904.000,1.42,0.29,0.920,0.62
2025-12-03,315.030,318.770,320.720,313.240,41838317,13352199168.000,2.37,1.21,3.820,0.72
2025-12-04,321.365,316.760,321.500,313.840,31240924,9907788288.000,2.40,-0.63,-2.010,0.54
2025-12-05,318.630,320.410,322.300,318.305,28851705,9262466304.000,1.26,1.15,3.650,0.50
2025-12-08,319.400,313.070,319.790,310.572,33909433,10673856256.000,2.88,-2.29,-7.340,0.58
2025-12-09,311.720,316.430,317.340,311.245,30194027,9528725248.000,1.95,1.07,3.360,0.52
2025-12-10,315.180,319.560,320.660,314.030,33428923,10646597632.000,2.10,0.99,3.130,0.57
2025-12-11,319.430,311.780,320.470,307.950,42353697,13286715648.000,3.92,-2.43,-7.780,0.73
2025-12-12,313.050,308.640,314.220,304.910,35940170,11121482752.000,2.99,-1.01,-3.140,0.62
2025-12-15,310.665,307.570,310.770,304.230,29151889,8973689088.000,2.12,-0.35,-1.070,0.50
2025-12-16,304.295,305.920,310.120,301.940,30585020,9362564096.000,2.66,-0.54,-1.650,0.53
2025-12-17,307.360,296.070,307.440,295.470,43930358,13121868032.000,3.91,-3.22,-9.850,0.76
2025-12-18,301.070,301.810,303.310,298.581,33518048,10122721024.000,1.60,1.94,5.740,0.58
2025-12-19,301.080,306.510,306.600,300.320,59943239,18316779008.000,2.08,1.56,4.700,1.03
2025-12-22,309.225,309.130,309.480,304.650,26429937,8158765056.000,1.58,0.85,2.620,0.45
2025-12-23,308.975,313.700,314.290,308.670,25478670,7989736704.000,1.82,1.48,4.570,0.44
2025-12-24,314.120,313.440,314.430,311.270,10097361,3165708512.000,1.01,-0.08,-0.260,0.17
2025-12-26,313.830,312.860,314.435,311.625,10899017,3417139312.000,0.90,-0.19,-0.580,0.19
2025-12-29,310.715,312.910,313.370,309.970,19621777,6136900608.000,1.09,0.02,0.050,0.34
2025-12-30,311.850,313.200,316.300,311.810,17380888,5459755008.000,1.43,0.09,0.290,0.30
2025-12-31,312.195,312.350,313.930,310.790,16377689,5130789888.000,1.00,-0.27,-0.850,0.28
2026-01-02,316.250,314.500,321.850,309.680,32009385,10103329280.000,3.90,0.69,2.150,0.55
2026-01-05,317.005,315.890,318.365,313.980,30195597,9555522560.000,1.39,0.44,1.390,0.52
2026-01-06,315.750,313.690,320.290,311.130,31212101,9817414144.000,2.90,-0.70,-2.200,0.54
2026-01-07,313.710,321.330,325.500,313.540,35104425,11273725440.000,3.81,2.44,7.640,0.60
2026-01-08,328.315,324.790,329.670,320.850,31896101,10389035520.000,2.74,1.08,3.460,0.55
2026-01-09,326.440,327.920,330.180,325.150,26214166,8626014464.000,1.55,0.96,3.130,0.45
2026-01-12,325.150,331.210,333.390,324.350,33923928,11192602112.000,2.76,1.00,3.290,0.58
2026-01-13,334.300,335.320,339.840,332.970,33517607,11297521408.000,2.07,1.24,4.110,0.58
2026-01-14,334.410,335.190,335.870,329.830,28525571,9531692288.000,1.80,-0.04,-0.130,0.49
2026-01-15,337.000,332.130,337.040,330.090,28442406,9473914624.000,2.07,-0.91,-3.060,0.49
2026-01-16,333.760,329.350,334.000,327.050,40341637,13327778048.000,2.09,-0.84,-2.780,0.69
2026-01-20,320.220,321.350,327.080,319.780,35361045,11428173312.000,2.22,-2.43,-8.000,0.61
2026-01-21,320.270,327.730,331.830,318.702,35386603,11589625600.000,4.09,1.99,6.380,0.61
2026-01-22,333.800,329.890,334.500,328.100,26253640,8702058752.000,1.95,0.66,2.160,0.45
2026-01-23,331.835,327.280,333.039,326.800,27279974,8984857088.000,1.89,-0.79,-2.610,0.47
2026-01-26,327.155,332.610,335.190,326.350,26042120,8668522496.000,2.70,1.63,5.330,0.45
2026-01-27,334.715,333.900,337.260,332.830,21636164,7257252864.000,1.33,0.39,1.290,0.37
2026-01-28,335.410,335.360,336.885,331.290,27434434,9205000704.000,1.68,0.44,1.460,0.47
